Distribution,ttl,DisParameter 1,DisParameter 2,Replacement Policy,NumberOfItems,CacheCapacity,Lower,Mean,Upper
Zipf,,0.5,1000,Random,1000,100,0.1573271855018952,0.15779491550733457,0.15826264551277394
Zipf,,0.5,1000,Random,1000,200,0.2806038216309055,0.28141767348836716,0.2822315253458288
Zipf,,0.5,1000,Random,1000,300,0.39061245534905126,0.3917652853884236,0.3929181154277959
Zipf,,0.5,1000,Random,1000,400,0.4899200565429086,0.49136295506318367,0.49280585358345874
Zipf,,0.5,1000,Random,1000,500,0.5836971297157203,0.5854230011330469,0.5871488725503735
Zipf,,0.5,1000,Random,1000,600,0.6728568939210275,0.6748537233510289,0.6768505527810302
Zipf,,0.5,1000,Random,1000,700,0.7568413313231577,0.7591033844440374,0.761365437564917
Zipf,,0.5,1000,Random,1000,800,0.8392539919218457,0.8417390554556903,0.8442241189895349
Zipf,,0.5,1000,Random,1000,900,0.918571968876752,0.9212724523762055,0.923972935875659
Zipf,,0.5,1000,FIFO,1000,100,0.15713477570290035,0.1575961962233862,0.15805761674387203
Zipf,,0.5,1000,FIFO,1000,200,0.2807832121332642,0.28160232229961785,0.2824214324659715
Zipf,,0.5,1000,FIFO,1000,300,0.39002487326933577,0.39117021194306795,0.3923155506168001
Zipf,,0.5,1000,FIFO,1000,400,0.4894119991977862,0.4908680413409885,0.49232408348419077
Zipf,,0.5,1000,FIFO,1000,500,0.5833797321047237,0.5850913065982513,0.5868028810917788
Zipf,,0.5,1000,FIFO,1000,600,0.6724144165126688,0.674402706880774,0.6763909972488792
Zipf,,0.5,1000,FIFO,1000,700,0.7564542503885353,0.7586895613178058,0.7609248722470764
Zipf,,0.5,1000,FIFO,1000,800,0.8386604844183634,0.8411487045959365,0.8436369247735096
Zipf,,0.5,1000,FIFO,1000,900,0.9177408424222724,0.9204701562796705,0.9231994701370687
Zipf,,0.5,1000,LRU,1000,100,0.1676893496631273,0.16818168631717995,0.1686740229712326
Zipf,,0.5,1000,LRU,1000,200,0.30087991938950737,0.30175219688030286,0.30262447437109835
Zipf,,0.5,1000,LRU,1000,300,0.4154749776880109,0.4167074476269488,0.41793991756588666
Zipf,,0.5,1000,LRU,1000,400,0.5187877254283255,0.5203200198515275,0.5218523142747296
Zipf,,0.5,1000,LRU,1000,500,0.6133930700466343,0.6152101489937727,0.617027227940911
Zipf,,0.5,1000,LRU,1000,600,0.701015432781942,0.7030937914953787,0.7051721502088153
Zipf,,0.5,1000,LRU,1000,700,0.7822538322626146,0.784588888551715,0.7869239448408155
Zipf,,0.5,1000,LRU,1000,800,0.8555326356547953,0.8607160761062503,0.8658995165577054
Zipf,,0.5,1000,LRU,1000,900,0.930607307889665,0.9333545205746181,0.9361017332595712
Zipf,,0.5,1000,LFU,1000,100,0.23493419497958737,0.23561713996503134,0.2363000849504753
Zipf,,0.5,1000,LFU,1000,200,0.3568587800316651,0.3578984673697681,0.3589381547078711
Zipf,,0.5,1000,LFU,1000,300,0.46120784783066227,0.4625614561099441,0.4639150643892259
Zipf,,0.5,1000,LFU,1000,400,0.5550705400037863,0.5567099176737218,0.5583492953436573
Zipf,,0.5,1000,LFU,1000,500,0.6439577980054996,0.645866530550431,0.6477752630953624
Zipf,,0.5,1000,LFU,1000,600,0.7231728282724371,0.7253034310916808,0.7274340339109245
Zipf,,0.5,1000,LFU,1000,700,0.7938559152092334,0.7962003443031456,0.7985447733970578
Zipf,,0.5,1000,LFU,1000,800,0.8667480092307054,0.8692987574098027,0.8718495055889
