Distribution,ttl,DisParameter 1,DisParameter 2,Replacement Policy,NumberOfItems,CacheCapacity,Lower,Mean,Upper
Zipf,,0.75,10000,LFU,10000,30,0.16039471159598695,0.16086955534435599,0.16134439909272502
Zipf,,1.0,10000,LFU,10000,30,0.4042165901616795,0.405404911189224,0.4065932322167685
Zipf,,0.75,10000,LFU,10000,50,0.19532399228964795,0.19590167702288389,0.19647936175611982
Zipf,,1.0,10000,LFU,10000,50,0.4563812019638614,0.4577159184554013,0.45905063494694126
Zipf,,0.75,10000,LFU,10000,100,0.2503137339800111,0.2510581842778046,0.25180263457559804
Zipf,,1.0,10000,LFU,10000,100,0.5265895400024176,0.5281594359738117,0.5297293319452057
Zipf,,0.75,10000,LFU,10000,200,0.31545658504664914,0.3164024957605387,0.31734840647442825
Zipf,,1.0,10000,LFU,10000,200,0.5965032217589167,0.5982577515127921,0.6000122812666676
Zipf,,0.75,10000,LFU,10000,300,0.35887872048751257,0.35995916328080196,0.36103960607409136
Zipf,,1.0,10000,LFU,10000,300,0.637849752384391,0.6397329003474784,0.6416160483105658
Zipf,,0.75,10000,LFU,10000,400,0.3923400340418716,0.39351272333785386,0.3946854126338361
Zipf,,1.0,10000,LFU,10000,400,0.6673239082173166,0.6693138613498454,0.6713038144823742
Zipf,,0.75,10000,LFU,10000,500,0.41855294706477886,0.4210909596083748,0.4236289721519707
Zipf,,1.0,10000,LFU,10000,500,0.6892147497383043,0.6912690525584888,0.6933233553786733
Zipf,,0.75,10000,LRU,10000,30,0.04794997037897346,0.04823655963751276,0.04852314889605207
Zipf,,1.0,10000,LRU,10000,30,0.24931609793903853,0.25004949581158525,0.250782893684132
Zipf,,0.75,10000,LRU,10000,50,0.07201390977056313,0.07222461625081895,0.07243532273107478
Zipf,,1.0,10000,LRU,10000,50,0.30790489073208893,0.3088121567694797,0.3097194228068705
Zipf,,0.75,10000,LRU,10000,100,0.11571275867803058,0.11605037819990138,0.11638799772177219
Zipf,,1.0,10000,LRU,10000,100,0.3894495019901596,0.39057486953954024,0.3917002370889209
Zipf,,0.75,10000,LRU,10000,200,0.17319601659872152,0.1737038939706615,0.17421177134260146
Zipf,,1.0,10000,LRU,10000,200,0.4717351125790396,0.4731079362700227,0.47448075996100575
Zipf,,0.75,10000,LRU,10000,300,0.2130963506853013,0.2143620019687604,0.2156276532522195
Zipf,,1.0,10000,LRU,10000,300,0.5214543599795651,0.5229911878853387,0.5245280157911123
Zipf,,0.75,10000,LRU,10000,400,0.24562702740994136,0.24710077379563325,0.24857452018132514
Zipf,,1.0,10000,LRU,10000,400,0.5548625194017558,0.5581573386257492,0.5614521578497427
Zipf,,0.75,10000,LRU,10000,500,0.27224282119145643,0.27571420705529537,0.2791855929191343
Zipf,,1.0,10000,LRU,10000,500,0.5828145177474562,0.5863402602796489,0.5898660028118416
