Distribution,ttl,DisParameter 1,DisParameter 2,Replacement Policy,NumberOfItems,CacheCapacity,Lower,Mean,Upper
Zipf,5,1.0,1000,TTL,1000,100,0,0.21407534223222738,0
Zipf,5,1.0,1000,TTL,1000,150,0,0.21410663600923255,0
Zipf,5,1.0,1000,TTL,1000,200,0,0.21410478822373888,0
Zipf,5,1.0,1000,TTL,1000,250,0,0.21402780358590323,0
Zipf,5,1.0,1000,TTL,1000,300,0,0.2139830747104675,0
Zipf,5,1.0,1000,TTL,1000,350,0,0.2140645309503711,0
Zipf,5,1.0,1000,TTL,1000,400,0,0.21405986835277016,0
Zipf,5,1.0,1000,TTL,1000,450,0,0.21404423800480402,0
Zipf,55,1.0,1000,TTL,1000,100,0.49812042741318924,0.5127819574610667,0.5274434875089442
Zipf,55,1.0,1000,TTL,1000,150,0.49812042741318924,0.5127819574610667,0.5274434875089442
Zipf,55,1.0,1000,TTL,1000,200,0.49812042741318924,0.5127819574610667,0.5274434875089442
Zipf,55,1.0,1000,TTL,1000,250,0.49812042741318924,0.5127819574610667,0.5274434875089442
Zipf,55,1.0,1000,TTL,1000,300,0.49812042741318924,0.5127819574610667,0.5274434875089442
Zipf,55,1.0,1000,TTL,1000,350,0.49812042741318924,0.5127819574610667,0.5274434875089442
Zipf,55,1.0,1000,TTL,1000,400,0.49812042741318924,0.5127819574610667,0.5274434875089442
Zipf,55,1.0,1000,TTL,1000,450,0.49812042741318924,0.5127819574610667,0.5274434875089442
Zipf,105,1.0,1000,TTL,1000,100,0,0.5762636180042153,0
Zipf,105,1.0,1000,TTL,1000,150,0.591180598153623,0.598679884124842,0.6061791700960609
Zipf,105,1.0,1000,TTL,1000,200,0.591180598153623,0.598679884124842,0.6061791700960609
Zipf,105,1.0,1000,TTL,1000,250,0.591180598153623,0.598679884124842,0.6061791700960609
Zipf,105,1.0,1000,TTL,1000,300,0.591180598153623,0.598679884124842,0.6061791700960609
Zipf,105,1.0,1000,TTL,1000,350,0.591180598153623,0.598679884124842,0.6061791700960609
Zipf,105,1.0,1000,TTL,1000,400,0.591180598153623,0.598679884124842,0.6061791700960609
Zipf,105,1.0,1000,TTL,1000,450,0.591180598153623,0.598679884124842,0.6061791700960609
Zipf,155,1.0,1000,TTL,1000,100,0.5689587756405977,0.576164796284111,0.5833708169276243
Zipf,155,1.0,1000,TTL,1000,150,0.632061283460126,0.6400173538825816,0.6479734243050372
Zipf,155,1.0,1000,TTL,1000,200,0.6375741787684525,0.645634322870341,0.6536944669722294
Zipf,155,1.0,1000,TTL,1000,250,0.6375741787684525,0.645634322870341,0.6536944669722294
Zipf,155,1.0,1000,TTL,1000,300,0.6375741787684525,0.645634322870341,0.6536944669722294
Zipf,155,1.0,1000,TTL,1000,350,0.6376085795101039,0.6457267634572178,0.6538449474043317
Zipf,155,1.0,1000,TTL,1000,400,0.6375741787684525,0.645634322870341,0.6536944669722294
Zipf,155,1.0,1000,TTL,1000,450,0.6375741787684525,0.645634322870341,0.6536944669722294
Zipf,205,1.0,1000,TTL,1000,100,0.5689587756405977,0.576164796284111,0.5833708169276243
Zipf,205,1.0,1000,TTL,1000,150,0.6390769851332135,0.6471106419345898,0.655144298735966
Zipf,205,1.0,1000,TTL,1000,200,0.6748288469217991,0.6834418803601687,0.6920549137985383
Zipf,205,1.0,1000,TTL,1000,250,0.6736395207948327,0.6821424931652585,0.6906454655356844
Zipf,205,1.0,1000,TTL,1000,300,0.6736395207948327,0.6821424931652585,0.6906454655356844
Zipf,205,1.0,1000,TTL,1000,350,0.6735187864677502,0.6820821304856528,0.6906454745035554
Zipf,205,1.0,1000,TTL,1000,400,0.6735187864677502,0.6820821304856528,0.6906454745035554
Zipf,205,1.0,1000,TTL,1000,450,0.6735187864677502,0.6820821304856528,0.6906454745035554
Zipf,255,1.0,1000,TTL,1000,100,0.5689587756405977,0.576164796284111,0.5833708169276243
Zipf,255,1.0,1000,TTL,1000,150,0.6390769851332135,0.6471106419345898,0.655144298735966
Zipf,255,1.0,1000,TTL,1000,200,0.687753466067644,0.6964469446962985,0.7051404233249531
Zipf,255,1.0,1000,TTL,1000,250,0.7012116253502803,0.7101328751421292,0.7190541249339781
Zipf,255,1.0,1000,TTL,1000,300,0.7009224611320114,0.7097700248562737,0.718617588580536
Zipf,255,1.0,1000,TTL,1000,350,0.7009224611320114,0.7097700248562737,0.718617588580536
Zipf,255,1.0,1000,TTL,1000,400,0.7009224611320114,0.7097700248562737,0.718617588580536
Zipf,255,1.0,1000,TTL,1000,450,0.7009224611320114,0.7097700248562737,0.718617588580536
Zipf,305,1.0,1000,TTL,1000,100,0.5689587756405977,0.576164796284111,0.5833708169276243
Zipf,305,1.0,1000,TTL,1000,150,0.6390769851332135,0.6471106419345898,0.655144298735966
Zipf,305,1.0,1000,TTL,1000,200,0.6891820092491548,0.6979452504933087,0.7067084917374625
Zipf,305,1.0,1000,TTL,1000,250,0.7213288037824392,0.730496520987968,0.7396642381934968
Zipf,305,1.0,1000,TTL,1000,300,0.7218048233839514,0.7309490164302959,0.7400932094766404
Zipf,305,1.0,1000,TTL,1000,350,0.7218048233839514,0.7309490164302959,0.7400932094766404
Zipf,305,1.0,1000,TTL,1000,400,0.7218048233839514,0.7309490164302959,0.7400932094766404
Zipf,305,1.0,1000,TTL,1000,450,0.7218048233839514,0.7309490164302959,0.7400932094766404
Zipf,355,1.0,1000,TTL,1000,100,0.5689587756405977,0.576164796284111,0.5833708169276243
Zipf,355,1.0,1000,TTL,1000,150,0.6390769851332135,0.6471106419345898,0.655144298735966
Zipf,355,1.0,1000,TTL,1000,200,0.6891820092491548,0.6979452504933087,0.7067084917374625
Zipf,355,1.0,1000,TTL,1000,250,0.729017924500928,0.7382461471375407,0.7474743697741534
Zipf,355,1.0,1000,TTL,1000,300,0.7397657770810199,0.7491392603506289,0.758512743620238
Zipf,355,1.0,1000,TTL,1000,350,0.7401541787266235,0.7495157108268948,0.7588772429271662
Zipf,355,1.0,1000,TTL,1000,400,0.7401541787266235,0.7495157108268948,0.7588772429271662
Zipf,355,1.0,1000,TTL,1000,450,0.7401541787266235,0.7495157108268948,0.7588772429271662
Zipf,405,1.0,1000,TTL,1000,100,0.5587122983472214,0.5751732878005594,0.5916342772538975
Zipf,405,1.0,1000,TTL,1000,150,0.6390769851332135,0.6471106419345898,0.655144298735966
Zipf,405,1.0,1000,TTL,1000,200,0.6891820092491548,0.6979452504933087,0.7067084917374625
Zipf,405,1.0,1000,TTL,1000,250,0.7280446780380002,0.737239972239463,0.7464352664409258
Zipf,405,1.0,1000,TTL,1000,300,0.7541921572947928,0.7637220808956773,0.7732520044965617
Zipf,405,1.0,1000,TTL,1000,350,0.7558445697395366,0.765407485296026,0.7749704008525153
Zipf,405,1.0,1000,TTL,1000,400,0.7558445697395366,0.765407485296026,0.7749704008525153
Zipf,405,1.0,1000,TTL,1000,450,0.7558445697395366,0.765407485296026,0.7749704008525153
Zipf,455,1.0,1000,TTL,1000,100,0.5689587756405977,0.576164796284111,0.5833708169276243
Zipf,455,1.0,1000,TTL,1000,150,0.6390769851332135,0.6471106419345898,0.655144298735966
Zipf,455,1.0,1000,TTL,1000,200,0.6891820092491548,0.6979452504933087,0.7067084917374625
Zipf,455,1.0,1000,TTL,1000,250,0.7280446780380002,0.737239972239463,0.7464352664409258
Zipf,455,1.0,1000,TTL,1000,300,0.7575313954095079,0.7671107421804662,0.7766900889514244
Zipf,455,1.0,1000,TTL,1000,350,0.7686694316747058,0.7783885159070923,0.7881076001394789
Zipf,455,1.0,1000,TTL,1000,400,0.7697222156304651,0.7794569930744398,0.7891917705184146
Zipf,455,1.0,1000,TTL,1000,450,0.7697222156304651,0.7794569930744398,0.7891917705184146
Zipf,505,1.0,1000,TTL,1000,100,0.5689587756405977,0.576164796284111,0.5833708169276243
Zipf,505,1.0,1000,TTL,1000,150,0.6390769851332135,0.6471106419345898,0.655144298735966
Zipf,505,1.0,1000,TTL,1000,200,0.6891820092491548,0.6979452504933087,0.7067084917374625
Zipf,505,1.0,1000,TTL,1000,250,0.7280446780380002,0.737239972239463,0.7464352664409258
Zipf,505,1.0,1000,TTL,1000,300,0.7586735477390324,0.768293794637109,0.7779140415351856
Zipf,505,1.0,1000,TTL,1000,350,0.7822461788034266,0.7921769393329134,0.8021076998624003
Zipf,505,1.0,1000,TTL,1000,400,0.782563104320314,0.7924848010909391,0.8024064978615643
Zipf,505,1.0,1000,TTL,1000,450,0.782563104320314,0.7924848010909391,0.8024064978615643
Zipf,555,1.0,1000,TTL,1000,100,0.5689587756405977,0.576164796284111,0.5833708169276243
Zipf,555,1.0,1000,TTL,1000,150,0.6390769851332135,0.6471106419345898,0.655144298735966
Zipf,555,1.0,1000,TTL,1000,200,0.6891820092491548,0.6979452504933087,0.7067084917374625
Zipf,555,1.0,1000,TTL,1000,250,0.7280446780380002,0.737239972239463,0.7464352664409258
Zipf,555,1.0,1000,TTL,1000,300,0.7586751305247472,0.7682951450393146,0.777915159553882
Zipf,555,1.0,1000,TTL,1000,350,0.7862058578044959,0.7961234981444177,0.8060411384843396
Zipf,555,1.0,1000,TTL,1000,400,0.7924072681604096,0.8024231722590209,0.8124390763576322
Zipf,555,1.0,1000,TTL,1000,450,0.7924072681604096,0.8024231722590209,0.8124390763576322
Zipf,605,1.0,1000,TTL,1000,100,0.5689587756405977,0.576164796284111,0.5833708169276243
Zipf,605,1.0,1000,TTL,1000,150,0.6390769851332135,0.6471106419345898,0.655144298735966
Zipf,605,1.0,1000,TTL,1000,200,0.6891820092491548,0.6979452504933087,0.7067084917374625
Zipf,605,1.0,1000,TTL,1000,250,0.7280446780380002,0.737239972239463,0.7464352664409258
Zipf,605,1.0,1000,TTL,1000,300,0.7586751305247472,0.7682951450393146,0.777915159553882
Zipf,605,1.0,1000,TTL,1000,350,0.7895831361876363,0.7995743240244891,0.809565511861342
Zipf,605,1.0,1000,TTL,1000,400,0.8016278408894341,0.8117730123547912,0.8219181838201483
Zipf,605,1.0,1000,TTL,1000,450,0.8018302081866635,0.8119726221857982,0.822115036184933
Zipf,655,1.0,1000,TTL,1000,100,0.5587122983472214,0.5751732878005594,0.5916342772538975
