Distribution,ttl,DisParameter 1,DisParameter 2,Replacement Policy,NumberOfItems,CacheCapacity,Lower,Mean,Upper
Zipf,,0.5,1000,Random,1000,100,0,0.1605367847776298,0
Zipf,,0.5,1000,Random,1000,200,0,0.2812064217401355,0
Zipf,,0.5,1000,Random,1000,300,0,0.3901377482426597,0
Zipf,,0.5,1000,Random,1000,400,0.47682353047869014,0.49086695028641825,0.5049103700941463
Zipf,,0.5,1000,Random,1000,500,0.5692735775308052,0.5860387255977203,0.6028038736646354
Zipf,,0.5,1000,Random,1000,600,0.66418493560043,0.6725736625213168,0.6809623894422036
Zipf,,0.5,1000,Random,1000,700,0,0.7586708957809875,0
Zipf,,0.5,1000,Random,1000,800,0,0.8393254094112451,0
Zipf,,0.5,1000,Random,1000,900,0.9078998497969916,0.9194009055236921,0.9309019612503927
Zipf,,0.5,1000,FIFO,1000,100,0,0.15786772143403108,0
Zipf,,0.5,1000,FIFO,1000,200,0,0.28044874172303785,0
Zipf,,0.5,1000,FIFO,1000,300,0.37768236290734647,0.388791629327397,0.3999008957474476
Zipf,,0.5,1000,FIFO,1000,400,0,0.48839312912158656,0
Zipf,,0.5,1000,FIFO,1000,500,0.5782630977536943,0.5855356874086606,0.5928082770636268
Zipf,,0.5,1000,FIFO,1000,600,0.6628354939951868,0.6712918101395468,0.6797481262839067
Zipf,,0.5,1000,FIFO,1000,700,0.7484640712354326,0.757944247303736,0.7674244233720394
Zipf,,0.5,1000,FIFO,1000,800,0,0.8406693031492705,0
Zipf,,0.5,1000,FIFO,1000,900,0,0.9186517518580031,0
Zipf,,0.5,1000,LRU,1000,100,0,0.16964795887408135,0
Zipf,,0.5,1000,LRU,1000,200,0,0.3015164710218606,0
Zipf,,0.5,1000,LRU,1000,300,0.40614293287599584,0.41811443679282456,0.4300859407096533
Zipf,,0.5,1000,LRU,1000,400,0,0.5186723300340439,0
Zipf,,0.5,1000,LRU,1000,500,0,0.613607071946123,0
Zipf,,0.5,1000,LRU,1000,600,0.6932711634909797,0.7020365672779308,0.710801971064882
Zipf,,0.5,1000,LRU,1000,700,0.7730499158795437,0.7828850841394858,0.7927202523994278
Zipf,,0.5,1000,LRU,1000,800,0,0.8594966110882944,0
Zipf,,0.5,1000,LRU,1000,900,0,0.9316206561897876,0
Zipf,,0.5,1000,LFU,1000,100,0,0.23167738672523155,0
Zipf,,0.5,1000,LFU,1000,200,0,0.36581235316286087,0
Zipf,,0.5,1000,LFU,1000,300,0,0.4584887306667494,0
Zipf,,0.5,1000,LFU,1000,400,0,0.5505805973486153,0
Zipf,,0.5,1000,LFU,1000,500,0.6219597666392684,0.6402057933801618,0.6584518201210552
Zipf,,0.5,1000,LFU,1000,600,0.702229501256525,0.7228820864351435,0.7435346716137621
Zipf,,0.5,1000,LFU,1000,700,0.7718803616809431,0.7946171242907044,0.8173538869004657
Zipf,,0.5,1000,LFU,1000,800,0,0.8701983058238415,0
Zipf,,0.5,1000,LFU,1000,900,0.907584748457602,0.9343465722606347,0.9611083960636674
Zipf,,0.75,1000,Random,1000,100,0,0.29508926920971856,0
Zipf,,0.75,1000,Random,1000,200,0.422212090944692,0.4346263327357226,0.4470405745267532
Zipf,,0.75,1000,Random,1000,300,0.5214987092078089,0.5367774102094236,0.5520561112110383
Zipf,,0.75,1000,Random,1000,400,0.6064125470844669,0.6242795303412472,0.6421465135980274
Zipf,,0.75,1000,Random,1000,500,0.6913960912657409,0.7001453248464526,0.7088945584271644
Zipf,,0.75,1000,Random,1000,600,0.7603912236925305,0.7700281918887403,0.77966516008495
Zipf,,0.75,1000,Random,1000,700,0.819912335096106,0.8302838205433907,0.8406553059906754
